clause_id,clause_text,silver_aspek,llm_aspek,silver_sentimen,llm_sentimen,llm_severity,beda_pada,final_aspek,final_sentimen,final_severity,catatan
r022628_c2,4 (k-one) karena beda merek dengan yang diminta diawal overall produk oke,kualitas_produk,"kesesuaian_deskripsi, kualitas_produk",positif,netral,,aspek + sentimen,,,,
r014783_c2,bagus dan enak dipakai,"kemudahan_penggunaan, rasa_kualitas_makanan","kemudahan_penggunaan, kualitas_produk",positif,positif,,aspek,,,,
r003265_c13,smoga awet dan bener asli,"keaslian, kualitas_produk","keaslian, kualitas_produk",positif,netral,,sentimen,,,,
r000491_c0,lama banget sampenya,(tidak ada),pengiriman,negatif,negatif,sedang,aspek,,,,
r000530_c3,enak tidak cape jadi makin sering masak biar hemat dan sehat dirumahmakasi yaa sudah mempermudah masak,rasa_kualitas_makanan,kemudahan_penggunaan,positif,positif,,aspek,,,,
r027505_c0,barang sudah di terima,kualitas_produk,pengiriman,positif,netral,,aspek + sentimen,,,,
r004918_c14,disetting dulu lighting/white balancenya supaya akurat & netral warnanya antar produk,ukuran_varian,"kemudahan_penggunaan, ukuran_varian",negatif,netral,,aspek + sentimen,,,,
r015108_c1,ampe pegel ngetiknya,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r018241_c1,harga sangat kompetitif,harga_value,harga_value,positif,positif,,-,,,,
r022343_c0,terima kasih gan barang sudah saya terima dengan baik,kualitas_produk,pengiriman,positif,positif,,aspek,,,,
r022786_c1,belum dibuka,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r002497_c2,seller: packaging oke,"kemasan, pelayanan_penjual",kemasan,positif,positif,,aspek,,,,
r035934_c1,belum dipakai,kemudahan_penggunaan,(tidak ada),positif,netral,,aspek + sentimen,,,,
r003213_c0,pokoknya jangan ada yang beli disini,(tidak ada),pelayanan_penjual,negatif,negatif,tinggi,aspek,,,,
r017479_c0,ah kereen banged sepatunya,(tidak ada),kualitas_produk,positif,positif,,aspek,,,,
r000361_c3,thamos train set,(tidak ada),(tidak ada),negatif,netral,,sentimen,,,,
r003663_c2,ga tau ini promo gara2 emang abisin stok penyok atau toko cabangnya yang bermasalah,"harga_value, kualitas_produk","kualitas_produk, pelayanan_penjual",negatif,negatif,sedang,aspek,,,,
r002507_c11,suaranya gurih,rasa_kualitas_makanan,kualitas_produk,positif,positif,,aspek,,,,
r034354_c0,packing bagus sehingga barang aman,kemasan,kemasan,positif,positif,,-,,,,
r022591_c3,buat yang butuh joystick yang murah bisa pesan disini,harga_value,harga_value,positif,positif,,-,,,,
r003465_c4,disetrika kayaknya lengket,(tidak ada),kualitas_produk,positif,negatif,sedang,aspek + sentimen,,,,
r002279_c1,bahkan libur barang dikirim sangat recommended,pengiriman,pengiriman,positif,positif,,-,,,,
r013607_c1,terima kasih gan,(tidak ada),(tidak ada),positif,positif,,-,,,,
r015659_c2,nya agak ke&#39,(tidak ada),(tidak ada),positif,netral,,sentimen,,,,
r017826_c1,sepatunya enak dipake,rasa_kualitas_makanan,kualitas_produk,positif,positif,,aspek,,,,
r022860_c0,oke gan manntap gan,(tidak ada),(tidak ada),positif,positif,,-,,,,
