clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,severity,catatan_pelabel
r038862_c1,karena ibu saya senang,other,,,,,,,,,,,,,,
r018405_c4,kalau original pasti bakalan jadi langganan karena harga nya benar2 bersaing sama yang lain,fashion,,,,,,,,,,,,,,
r000250_c0,mengecewakan sih,other,,,,,,,,,,,,,,
r016641_c1,packing rapi,fashion,,,,,,,,,,,,,,
r038843_c1,di deskripsi saya ada tulis hitam kenapa barang di kasih warna biru,other,,,,,,,,,,,,,,
r002519_c2,suara lumayan,electronics,,,,,,,,,,,,,,
r013681_c2,144pcs hampir sebagian alas copot dari bodynya,electronics,,,,,,,,,,,,,,
r000577_c0,sangat tidak cocok dengan yang tidak suka manis,food_beverage,,,,,,,,,,,,,,
r025781_c2,murah,electronics,,,,,,,,,,,,,,
r022786_c1,belum dibuka,electronics,,,,,,,,,,,,,,
r029934_c0,mantap barang bagus,electronics,,,,,,,,,,,,,,
r001637_c2,reply : saya sudah kirim bukti tambahan lwt wa,craft,,,,,,,,,,,,,,
r035635_c2,recommend,other,,,,,,,,,,,,,,
r035444_c0,standar sesuai harga,other,,,,,,,,,,,,,,
r003230_c0,toko tidak bertanggung jawab,electronics,,,,,,,,,,,,,,
r039791_c1,dan keren,other,,,,,,,,,,,,,,
r027505_c0,barang sudah di terima,electronics,,,,,,,,,,,,,,
r038971_c2,surabaya jakarta produk sesuai deskripsi,other,,,,,,,,,,,,,,
r003348_c0,nyaman banget dipakai,other,,,,,,,,,,,,,,
r035652_c0,mkasihh sis,other,,,,,,,,,,,,,,
r008411_c2,mdh&#34,electronics,,,,,,,,,,,,,,
r002279_c1,bahkan libur barang dikirim sangat recommended,other,,,,,,,,,,,,,,
r004849_c6,saya khawatir ini tidak ori,other,,,,,,,,,,,,,,
r002823_c1,jahitannya rapi,fashion,,,,,,,,,,,,,,
