clause_id,clause_text,category_produk,asp_kualitas_produk,asp_kesesuaian_deskripsi,asp_harga_value,asp_ukuran_varian,asp_rasa_kualitas_makanan,asp_kemasan,asp_pengiriman,asp_pelayanan_penjual,asp_kelengkapan,asp_keaslian,asp_kemudahan_penggunaan,sentimen,severity
r038862_c1,karena ibu saya senang,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r018405_c4,kalau original pasti bakalan jadi langganan karena harga nya benar2 bersaing sama yang lain,fashion,0,0,1,0,0,0,0,0,0,1,0,negatif,sedang
r000250_c0,mengecewakan sih,other,0,0,0,0,0,0,0,0,0,0,0,negatif,sedang
r016641_c1,packing rapi,fashion,0,0,0,0,0,1,0,0,0,0,0,positif,
r038843_c1,di deskripsi saya ada tulis hitam kenapa barang di kasih warna biru,other,0,1,0,1,0,0,0,0,0,0,0,negatif,tinggi
r002519_c2,suara lumayan,electronics,1,0,0,0,0,0,0,0,0,0,0,netral,
r013681_c2,144pcs hampir sebagian alas copot dari bodynya,electronics,1,0,0,0,0,0,0,0,0,0,0,negatif,tinggi
r000577_c0,sangat tidak cocok dengan yang tidak suka manis,food_beverage,0,0,0,0,1,0,0,0,0,0,0,netral,
r025781_c2,murah,electronics,0,0,1,0,0,0,0,0,0,0,0,positif,
r022786_c1,belum dibuka,electronics,0,0,0,0,0,0,0,0,0,0,0,netral,
r029934_c0,mantap barang bagus,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r001637_c2,reply : saya sudah kirim bukti tambahan lwt wa,craft,0,0,0,0,0,0,0,1,0,0,0,netral,
r035635_c2,recommend,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r035444_c0,standar sesuai harga,other,0,0,1,0,0,0,0,0,0,0,0,netral,
r003230_c0,toko tidak bertanggung jawab,electronics,0,0,0,0,0,0,0,1,0,0,0,negatif,tinggi
r039791_c1,dan keren,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r027505_c0,barang sudah di terima,electronics,0,0,0,0,0,0,1,0,0,0,0,netral,
r038971_c2,surabaya jakarta produk sesuai deskripsi,other,0,1,0,0,0,0,0,0,0,0,0,positif,
r003348_c0,nyaman banget dipakai,other,1,0,0,0,0,0,0,0,0,0,0,positif,
r035652_c0,mkasihh sis,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r008411_c2,mdh&#34,electronics,0,0,0,0,0,0,0,0,0,0,0,netral,
r002279_c1,bahkan libur barang dikirim sangat recommended,other,0,0,0,0,0,0,1,0,0,0,0,positif,
r004849_c6,saya khawatir ini tidak ori,other,0,0,0,0,0,0,0,0,0,1,0,negatif,sedang
r002823_c1,jahitannya rapi,fashion,1,0,0,0,0,0,0,0,0,0,0,positif,
r035949_c1,sesuai dengan harga,other,0,0,1,0,0,0,0,0,0,0,0,positif,
r013408_c0,barang sesuai deskripsi,electronics,0,1,0,0,0,0,0,0,0,0,0,positif,
r018411_c3,bisa bri tahu settingannya bro,fashion,0,0,0,0,0,0,0,0,0,0,1,netral,
r022798_c2,dan cepat respon recommended seller,electronics,0,0,0,0,0,0,0,1,0,0,0,positif,
r015620_c1,ukuran 42nya abis,fashion,0,0,0,1,0,0,0,0,0,0,0,netral,
r000413_c0,sudah lama tidak makan,food_beverage,0,0,0,0,0,0,0,0,0,0,0,netral,
r000094_c2,terus menghubungi cs nya,electronics,0,0,0,0,0,0,0,1,0,0,0,netral,
r013412_c1,spekernya mati sebelah,electronics,1,0,0,0,0,0,0,0,0,0,0,negatif,tinggi
r025441_c0,cat5e lentur and working just great,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
r035895_c0,packing rapih dan barang sesuai,other,0,1,0,0,0,1,0,0,0,0,0,positif,
r018394_c1,barang apalagi ada flash sale,fashion,0,0,1,0,0,0,0,0,0,0,0,positif,
r022948_c3,rugi,electronics,0,0,1,0,0,0,0,0,0,0,0,negatif,sedang
r014106_c1,pas banget dengan body miro,electronics,0,0,0,1,0,0,0,0,0,0,0,positif,
r004154_c1,harga murah banget,fashion,0,0,1,0,0,0,0,0,0,0,0,positif,
r006019_c0,barang sudah nyampe sesuai pesanan,craft,0,1,0,0,0,0,1,0,0,0,0,positif,
r015621_c1,untuk harga segitu kualitas cukup memuaskan,fashion,1,0,1,0,0,0,0,0,0,0,0,positif,
r028810_c0,tks,electronics,0,0,0,0,0,0,0,0,0,0,0,positif,
r003752_c0,pesen yang besar sama yang kecil warna putih,other,0,0,0,1,0,0,0,0,0,0,0,netral,
r039057_c1,terima kasih,other,0,0,0,0,0,0,0,0,0,0,0,positif,
r016838_c1,pengiriman super cepat,fashion,0,0,0,0,0,0,1,0,0,0,0,positif,
r009159_c1,warna sesuai pesanan saya,fashion,0,1,0,1,0,0,0,0,0,0,0,positif,
r004159_c0,harga oke,fashion,0,0,1,0,0,0,0,0,0,0,0,positif,
r022673_c0,produk oke,electronics,1,0,0,0,0,0,0,0,0,0,0,positif,
