review_id,ulasan,rating,tanggal,produk,varian
SHP75386226999,"Bahan:tdk tembus pandang
Desain:menarik
Tekstur:lembut

kaosnya sdh dtg, bahan melar, nyaman dan pas si ukuranku. Semua sesuai dg deskripsi.",5,2025-10-02,Produk-0964,"Mocca,XXL"
SHP76397811329,"Bahan:sangat halus dan nyaman
Desain:sederhana namun elegan
Tekstur:sangat lembut dan nyaman buat sehari hari",5,2025-10-14,Produk-0964,"Abu Tua,L"
SHP77035428493,"Bahan:bagus ngak tembus pandang
Desain:modern
Tekstur:sangat lembut

Bajux aku Sukak sekali...adem ngak bikin gerah",5,2025-10-20,Produk-0964,"Abu M61,M"
SHP77517372849,"Bahan:halus lembut nyaman
Desain:bagus menarik
Tekstur:halus

Alhamdulillah baju saya udah sampai dgn selamat dan amann... real pict sesuai yg di live pokoknya sukaa 🥰💖 Terimakasih seller 🙏🥰",5,2025-10-25,Produk-0964,"Mocca,M"
SHP77757768050,"Bahan:sejuk dan nyaman
Desain:modern
Tekstur:sangat lembut dan halus

Kaos wanita polos bagus bgt modelnya trus bawahnya oval lg jahitan rapih bahan adem lembut nyaman dikulit",5,2025-10-28,Produk-0964,"Hitam,XL"
SHP78252741100,"Bahan:halus dan tidak tembus
Desain:polos putih
Tekstur:lembut

Barang nya cepet banget sampe nya pesen hari Senin Selasa nya udh sampe, awalnya mau batalin pesanan karna takut lama tapi ternyata cepet🥰",5,2025-11-04,Produk-0964,"Putih,M"
SHP78248305181,"Bahan:bagus banget
Desain:modern
Tekstur:lembut

di aku ga ngecrop tpi pas ga kecil ga besar, bagus bangett, recommended sii",5,2025-11-04,Produk-0964,"Hitam,M"
SHP78665146333,"Bahan:lembut
Desain:lucu
Tekstur:nyaman

Bagus, bahan ringan dan nyaman sesuai pesanan, harga terjangkau",5,2025-11-09,Produk-0964,"Hitam,L"
SHP78700595083,"Bahan:lembut gak nerawang
Desain:simpel
Tekstur:lembut

Pas dibadan, bahannya gak tipis enaken, next beli warna lain👍🏻",5,2025-11-10,Produk-0964,"Abu M61,M"
SHP78920697951,"Bahan:kualitasnya sesuai standar
Tekstur:sangat lembut dan nyaman
Desain:imut dan menarik perhatian

baru kali ini nemu kaos yg lucu banget trs bagus banget lagi, soalnya mau dipakai di acara sekolah🎀⭐⭐⭐⭐⭐",5,2025-11-14,Produk-0964,"Putih,L"
SHP79855019832,"Bahan:kaos adem
Desain:lucu
Tekstur:lembut

adem ga panas kaosnya lembut di ukiran L nya.. abu nya ga trlalu gelap ga trlalu terang bagus banget sukaa.. next mau order lagi bahanya meral juga gitu pas banget ..",5,2025-11-27,Produk-0964,"Abu Tua,L"
SHP80405302429,"Bahan:lumayan
Desain:oke
Tekstur:lembut

Pengemasan dan pengiriman cepet. Packaging standar dan aman. Utk barangnya sih sesuai ya size L tp utk BB 48 pas. Sesuai harga",5,2025-12-02,Produk-0964,"Mocca,L"
